SpanID: 8f81c4ca74ee92bd, SpanName: http:/consignprice/getprice, SpanKind: SERVER, Timestamp:1694757702845000, SpanDuration: 85.341ms
--SpanID: ecda51d1246500aa, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: CLIENT, Timestamp:1694757681319000, SpanDuration: 15.0ms
--SpanID: ecda51d1246500aa, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: SERVER, Timestamp:1694757681322000, SpanDuration: 11.0ms
--SpanID: 3a8830debae3acf8, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: CLIENT, Timestamp:1694757681335000, SpanDuration: 9.0ms
--SpanID: 3a8830debae3acf8, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: SERVER, Timestamp:1694757681337000, SpanDuration: 6.0ms
==================================
SpanID: a2f30f2f4aa3ecbf, SpanName: http:/contacts/findcontacts, SpanKind: SERVER, Timestamp:1694757680636000, SpanDuration: 276.834ms
--SpanID: b0500336aefdf0b6, SpanName: http:/verifylogintoken/8d82f28f-e8a8-4910-9efd-441, SpanKind: CLIENT, Timestamp:1694757680749000, SpanDuration: 50.0ms
--SpanID: b0500336aefdf0b6, SpanName: http:/verifylogintoken/8d82f28f-e8a8-4910-9efd-441, SpanKind: SERVER, Timestamp:1694757680761000, SpanDuration: 15.0ms
==================================
SpanID: 4df6157c15fa0146, SpanName: http:/travel/query, SpanKind: SERVER, Timestamp:1694757673800000, SpanDuration: 3510.194ms
--SpanID: 41545bc7fe997e9c, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694757673944000, SpanDuration: 1081.0ms
----SpanID: 38f64a3d6336c40a, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694757674239000, SpanDuration: 740.0ms
------SpanID: 252df6f93987e3a7, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757674566000, SpanDuration: 376.0ms
------SpanID: 252df6f93987e3a7, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757674753000, SpanDuration: 181.0ms
----SpanID: 38f64a3d6336c40a, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694757674432000, SpanDuration: 540.0ms
------SpanID: 252df6f93987e3a7, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757674566000, SpanDuration: 376.0ms
------SpanID: 252df6f93987e3a7, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757674753000, SpanDuration: 181.0ms
--SpanID: 41545bc7fe997e9c, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1694757674090000, SpanDuration: 926.0ms
----SpanID: 38f64a3d6336c40a, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694757674239000, SpanDuration: 740.0ms
------SpanID: 252df6f93987e3a7, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757674566000, SpanDuration: 376.0ms
------SpanID: 252df6f93987e3a7, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757674753000, SpanDuration: 181.0ms
----SpanID: 38f64a3d6336c40a, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694757674432000, SpanDuration: 540.0ms
------SpanID: 252df6f93987e3a7, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757674566000, SpanDuration: 376.0ms
------SpanID: 252df6f93987e3a7, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757674753000, SpanDuration: 181.0ms
--SpanID: 4f3c51eefed6d702, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694757675057000, SpanDuration: 71.0ms
----SpanID: c4a501857efbacc8, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694757675071000, SpanDuration: 52.0ms
------SpanID: a5f5de266b902b66, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757675086000, SpanDuration: 27.0ms
------SpanID: a5f5de266b902b66, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757675096000, SpanDuration: 17.0ms
----SpanID: c4a501857efbacc8, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694757675077000, SpanDuration: 46.0ms
------SpanID: a5f5de266b902b66, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757675086000, SpanDuration: 27.0ms
------SpanID: a5f5de266b902b66, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757675096000, SpanDuration: 17.0ms
--SpanID: 4f3c51eefed6d702, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1694757675062000, SpanDuration: 66.0ms
----SpanID: c4a501857efbacc8, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694757675071000, SpanDuration: 52.0ms
------SpanID: a5f5de266b902b66, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757675086000, SpanDuration: 27.0ms
------SpanID: a5f5de266b902b66, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757675096000, SpanDuration: 17.0ms
----SpanID: c4a501857efbacc8, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694757675077000, SpanDuration: 46.0ms
------SpanID: a5f5de266b902b66, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757675086000, SpanDuration: 27.0ms
------SpanID: a5f5de266b902b66, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757675096000, SpanDuration: 17.0ms
--SpanID: d17db16ea16cb3e3, SpanName: http:/route/querybyid/92708982-77af-4318-be25-57cc, SpanKind: CLIENT, Timestamp:1694757675166000, SpanDuration: 235.0ms
--SpanID: d17db16ea16cb3e3, SpanName: http:/route/querybyid/92708982-77af-4318-be25-57cc, SpanKind: SERVER, Timestamp:1694757675285000, SpanDuration: 110.0ms
--SpanID: f5050d870ae5c469, SpanName: http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2, SpanKind: CLIENT, Timestamp:1694757675402000, SpanDuration: 14.0ms
--SpanID: f5050d870ae5c469, SpanName: http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2, SpanKind: SERVER, Timestamp:1694757675405000, SpanDuration: 11.0ms
--SpanID: c2cd92eb1579e4cd, SpanName: http:/route/querybyid/a3f256c1-0e43-4f7d-9c21-121b, SpanKind: CLIENT, Timestamp:1694757675418000, SpanDuration: 18.0ms
--SpanID: c2cd92eb1579e4cd, SpanName: http:/route/querybyid/a3f256c1-0e43-4f7d-9c21-121b, SpanKind: SERVER, Timestamp:1694757675425000, SpanDuration: 11.0ms
--SpanID: 521134f056e898b8, SpanName: http:/route/querybyid/084837bb-53c8-4438-87c8-0321, SpanKind: CLIENT, Timestamp:1694757675438000, SpanDuration: 13.0ms
--SpanID: 521134f056e898b8, SpanName: http:/route/querybyid/084837bb-53c8-4438-87c8-0321, SpanKind: SERVER, Timestamp:1694757675443000, SpanDuration: 8.0ms
--SpanID: 8e3b4b9a7bd8ee53, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1694757675454000, SpanDuration: 16.0ms
--SpanID: 8e3b4b9a7bd8ee53, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1694757675458000, SpanDuration: 11.0ms
--SpanID: 43e3cb02a3683bef, SpanName: http:/ticketinfo/queryfortravel, SpanKind: CLIENT, Timestamp:1694757675489000, SpanDuration: 870.0ms
----SpanID: aa6811aa38151eb0, SpanName: http:/basic/queryfortravel, SpanKind: CLIENT, Timestamp:1694757675535000, SpanDuration: 801.0ms
------SpanID: cb554429250f8c87, SpanName: http:/station/exist, SpanKind: CLIENT, Timestamp:1694757675567000, SpanDuration: 23.0ms
------SpanID: cb554429250f8c87, SpanName: http:/station/exist, SpanKind: SERVER, Timestamp:1694757675570000, SpanDuration: 18.0ms
------SpanID: 3aeb22f466b14a19, SpanName: http:/station/exist, SpanKind: CLIENT, Timestamp:1694757675592000, SpanDuration: 10.0ms
------SpanID: 3aeb22f466b14a19, SpanName: http:/station/exist, SpanKind: SERVER, Timestamp:1694757675595000, SpanDuration: 5.0ms
------SpanID: d5c66becf79f55c9, SpanName: http:/train/retrieve, SpanKind: CLIENT, Timestamp:1694757675606000, SpanDuration: 316.0ms
------SpanID: d5c66becf79f55c9, SpanName: http:/train/retrieve, SpanKind: SERVER, Timestamp:1694757675735000, SpanDuration: 185.0ms
------SpanID: 82f7c98b00d66f19, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1694757675932000, SpanDuration: 12.0ms
------SpanID: 82f7c98b00d66f19, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1694757675935000, SpanDuration: 7.0ms
------SpanID: c70efba821edbb1d, SpanName: http:/price/query, SpanKind: CLIENT, Timestamp:1694757675950000, SpanDuration: 346.0ms
------SpanID: c70efba821edbb1d, SpanName: http:/price/query, SpanKind: SERVER, Timestamp:1694757676129000, SpanDuration: 165.0ms
------SpanID: 296cea70c43d2b0d, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676298000, SpanDuration: 7.0ms
------SpanID: 296cea70c43d2b0d, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676300000, SpanDuration: 5.0ms
------SpanID: 33d6c1b8dc5b33ce, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676307000, SpanDuration: 9.0ms
------SpanID: 33d6c1b8dc5b33ce, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676309000, SpanDuration: 6.0ms
----SpanID: aa6811aa38151eb0, SpanName: http:/basic/queryfortravel, SpanKind: SERVER, Timestamp:1694757675539000, SpanDuration: 795.0ms
------SpanID: cb554429250f8c87, SpanName: http:/station/exist, SpanKind: CLIENT, Timestamp:1694757675567000, SpanDuration: 23.0ms
------SpanID: cb554429250f8c87, SpanName: http:/station/exist, SpanKind: SERVER, Timestamp:1694757675570000, SpanDuration: 18.0ms
------SpanID: 3aeb22f466b14a19, SpanName: http:/station/exist, SpanKind: CLIENT, Timestamp:1694757675592000, SpanDuration: 10.0ms
------SpanID: 3aeb22f466b14a19, SpanName: http:/station/exist, SpanKind: SERVER, Timestamp:1694757675595000, SpanDuration: 5.0ms
------SpanID: d5c66becf79f55c9, SpanName: http:/train/retrieve, SpanKind: CLIENT, Timestamp:1694757675606000, SpanDuration: 316.0ms
------SpanID: d5c66becf79f55c9, SpanName: http:/train/retrieve, SpanKind: SERVER, Timestamp:1694757675735000, SpanDuration: 185.0ms
------SpanID: 82f7c98b00d66f19, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1694757675932000, SpanDuration: 12.0ms
------SpanID: 82f7c98b00d66f19, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1694757675935000, SpanDuration: 7.0ms
------SpanID: c70efba821edbb1d, SpanName: http:/price/query, SpanKind: CLIENT, Timestamp:1694757675950000, SpanDuration: 346.0ms
------SpanID: c70efba821edbb1d, SpanName: http:/price/query, SpanKind: SERVER, Timestamp:1694757676129000, SpanDuration: 165.0ms
------SpanID: 296cea70c43d2b0d, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676298000, SpanDuration: 7.0ms
------SpanID: 296cea70c43d2b0d, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676300000, SpanDuration: 5.0ms
------SpanID: 33d6c1b8dc5b33ce, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676307000, SpanDuration: 9.0ms
------SpanID: 33d6c1b8dc5b33ce, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676309000, SpanDuration: 6.0ms
--SpanID: 43e3cb02a3683bef, SpanName: http:/ticketinfo/queryfortravel, SpanKind: SERVER, Timestamp:1694757675493000, SpanDuration: 864.0ms
----SpanID: aa6811aa38151eb0, SpanName: http:/basic/queryfortravel, SpanKind: CLIENT, Timestamp:1694757675535000, SpanDuration: 801.0ms
------SpanID: cb554429250f8c87, SpanName: http:/station/exist, SpanKind: CLIENT, Timestamp:1694757675567000, SpanDuration: 23.0ms
------SpanID: cb554429250f8c87, SpanName: http:/station/exist, SpanKind: SERVER, Timestamp:1694757675570000, SpanDuration: 18.0ms
------SpanID: 3aeb22f466b14a19, SpanName: http:/station/exist, SpanKind: CLIENT, Timestamp:1694757675592000, SpanDuration: 10.0ms
------SpanID: 3aeb22f466b14a19, SpanName: http:/station/exist, SpanKind: SERVER, Timestamp:1694757675595000, SpanDuration: 5.0ms
------SpanID: d5c66becf79f55c9, SpanName: http:/train/retrieve, SpanKind: CLIENT, Timestamp:1694757675606000, SpanDuration: 316.0ms
------SpanID: d5c66becf79f55c9, SpanName: http:/train/retrieve, SpanKind: SERVER, Timestamp:1694757675735000, SpanDuration: 185.0ms
------SpanID: 82f7c98b00d66f19, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1694757675932000, SpanDuration: 12.0ms
------SpanID: 82f7c98b00d66f19, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1694757675935000, SpanDuration: 7.0ms
------SpanID: c70efba821edbb1d, SpanName: http:/price/query, SpanKind: CLIENT, Timestamp:1694757675950000, SpanDuration: 346.0ms
------SpanID: c70efba821edbb1d, SpanName: http:/price/query, SpanKind: SERVER, Timestamp:1694757676129000, SpanDuration: 165.0ms
------SpanID: 296cea70c43d2b0d, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676298000, SpanDuration: 7.0ms
------SpanID: 296cea70c43d2b0d, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676300000, SpanDuration: 5.0ms
------SpanID: 33d6c1b8dc5b33ce, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676307000, SpanDuration: 9.0ms
------SpanID: 33d6c1b8dc5b33ce, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676309000, SpanDuration: 6.0ms
----SpanID: aa6811aa38151eb0, SpanName: http:/basic/queryfortravel, SpanKind: SERVER, Timestamp:1694757675539000, SpanDuration: 795.0ms
------SpanID: cb554429250f8c87, SpanName: http:/station/exist, SpanKind: CLIENT, Timestamp:1694757675567000, SpanDuration: 23.0ms
------SpanID: cb554429250f8c87, SpanName: http:/station/exist, SpanKind: SERVER, Timestamp:1694757675570000, SpanDuration: 18.0ms
------SpanID: 3aeb22f466b14a19, SpanName: http:/station/exist, SpanKind: CLIENT, Timestamp:1694757675592000, SpanDuration: 10.0ms
------SpanID: 3aeb22f466b14a19, SpanName: http:/station/exist, SpanKind: SERVER, Timestamp:1694757675595000, SpanDuration: 5.0ms
------SpanID: d5c66becf79f55c9, SpanName: http:/train/retrieve, SpanKind: CLIENT, Timestamp:1694757675606000, SpanDuration: 316.0ms
------SpanID: d5c66becf79f55c9, SpanName: http:/train/retrieve, SpanKind: SERVER, Timestamp:1694757675735000, SpanDuration: 185.0ms
------SpanID: 82f7c98b00d66f19, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1694757675932000, SpanDuration: 12.0ms
------SpanID: 82f7c98b00d66f19, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1694757675935000, SpanDuration: 7.0ms
------SpanID: c70efba821edbb1d, SpanName: http:/price/query, SpanKind: CLIENT, Timestamp:1694757675950000, SpanDuration: 346.0ms
------SpanID: c70efba821edbb1d, SpanName: http:/price/query, SpanKind: SERVER, Timestamp:1694757676129000, SpanDuration: 165.0ms
------SpanID: 296cea70c43d2b0d, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676298000, SpanDuration: 7.0ms
------SpanID: 296cea70c43d2b0d, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676300000, SpanDuration: 5.0ms
------SpanID: 33d6c1b8dc5b33ce, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676307000, SpanDuration: 9.0ms
------SpanID: 33d6c1b8dc5b33ce, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676309000, SpanDuration: 6.0ms
--SpanID: 8d2f03e62fda806e, SpanName: http:/order/calculate, SpanKind: CLIENT, Timestamp:1694757676363000, SpanDuration: 187.0ms
--SpanID: 8d2f03e62fda806e, SpanName: http:/order/calculate, SpanKind: SERVER, Timestamp:1694757676460000, SpanDuration: 88.0ms
--SpanID: bda51659aed20ed7, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694757676551000, SpanDuration: 22.0ms
----SpanID: 88964b8e882180b0, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694757676557000, SpanDuration: 14.0ms
------SpanID: 6ae96fbd6af4c8f8, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676562000, SpanDuration: 7.0ms
------SpanID: 6ae96fbd6af4c8f8, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676564000, SpanDuration: 4.0ms
----SpanID: 88964b8e882180b0, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694757676560000, SpanDuration: 10.0ms
------SpanID: 6ae96fbd6af4c8f8, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676562000, SpanDuration: 7.0ms
------SpanID: 6ae96fbd6af4c8f8, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676564000, SpanDuration: 4.0ms
--SpanID: bda51659aed20ed7, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1694757676552000, SpanDuration: 20.0ms
----SpanID: 88964b8e882180b0, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694757676557000, SpanDuration: 14.0ms
------SpanID: 6ae96fbd6af4c8f8, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676562000, SpanDuration: 7.0ms
------SpanID: 6ae96fbd6af4c8f8, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676564000, SpanDuration: 4.0ms
----SpanID: 88964b8e882180b0, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694757676560000, SpanDuration: 10.0ms
------SpanID: 6ae96fbd6af4c8f8, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676562000, SpanDuration: 7.0ms
------SpanID: 6ae96fbd6af4c8f8, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676564000, SpanDuration: 4.0ms
--SpanID: b7f73afdb454a7b9, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694757676574000, SpanDuration: 21.0ms
----SpanID: 1a5af51667d26378, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694757676580000, SpanDuration: 13.0ms
------SpanID: 0b582d951bad17d7, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676585000, SpanDuration: 6.0ms
------SpanID: 0b582d951bad17d7, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676587000, SpanDuration: 4.0ms
----SpanID: 1a5af51667d26378, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694757676582000, SpanDuration: 11.0ms
------SpanID: 0b582d951bad17d7, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676585000, SpanDuration: 6.0ms
------SpanID: 0b582d951bad17d7, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676587000, SpanDuration: 4.0ms
--SpanID: b7f73afdb454a7b9, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1694757676576000, SpanDuration: 19.0ms
----SpanID: 1a5af51667d26378, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694757676580000, SpanDuration: 13.0ms
------SpanID: 0b582d951bad17d7, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676585000, SpanDuration: 6.0ms
------SpanID: 0b582d951bad17d7, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676587000, SpanDuration: 4.0ms
----SpanID: 1a5af51667d26378, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694757676582000, SpanDuration: 11.0ms
------SpanID: 0b582d951bad17d7, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676585000, SpanDuration: 6.0ms
------SpanID: 0b582d951bad17d7, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676587000, SpanDuration: 4.0ms
--SpanID: b092942674bcc746, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694757676597000, SpanDuration: 25.0ms
----SpanID: 1de3813ebf733518, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694757676604000, SpanDuration: 16.0ms
------SpanID: 54b314ec7d0bb378, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676610000, SpanDuration: 8.0ms
------SpanID: 54b314ec7d0bb378, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676612000, SpanDuration: 6.0ms
----SpanID: 1de3813ebf733518, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694757676606000, SpanDuration: 14.0ms
------SpanID: 54b314ec7d0bb378, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676610000, SpanDuration: 8.0ms
------SpanID: 54b314ec7d0bb378, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676612000, SpanDuration: 6.0ms
--SpanID: b092942674bcc746, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1694757676601000, SpanDuration: 21.0ms
----SpanID: 1de3813ebf733518, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694757676604000, SpanDuration: 16.0ms
------SpanID: 54b314ec7d0bb378, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676610000, SpanDuration: 8.0ms
------SpanID: 54b314ec7d0bb378, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676612000, SpanDuration: 6.0ms
----SpanID: 1de3813ebf733518, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694757676606000, SpanDuration: 14.0ms
------SpanID: 54b314ec7d0bb378, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676610000, SpanDuration: 8.0ms
------SpanID: 54b314ec7d0bb378, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676612000, SpanDuration: 6.0ms
--SpanID: 7aafa7c7c0fbcd54, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694757676624000, SpanDuration: 23.0ms
----SpanID: 291690818e846cea, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694757676629000, SpanDuration: 16.0ms
------SpanID: 0c5f85b60120d0c9, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676634000, SpanDuration: 8.0ms
------SpanID: 0c5f85b60120d0c9, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676637000, SpanDuration: 4.0ms
----SpanID: 291690818e846cea, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694757676631000, SpanDuration: 12.0ms
------SpanID: 0c5f85b60120d0c9, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676634000, SpanDuration: 8.0ms
------SpanID: 0c5f85b60120d0c9, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676637000, SpanDuration: 4.0ms
--SpanID: 7aafa7c7c0fbcd54, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1694757676626000, SpanDuration: 21.0ms
----SpanID: 291690818e846cea, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694757676629000, SpanDuration: 16.0ms
------SpanID: 0c5f85b60120d0c9, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676634000, SpanDuration: 8.0ms
------SpanID: 0c5f85b60120d0c9, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676637000, SpanDuration: 4.0ms
----SpanID: 291690818e846cea, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694757676631000, SpanDuration: 12.0ms
------SpanID: 0c5f85b60120d0c9, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757676634000, SpanDuration: 8.0ms
------SpanID: 0c5f85b60120d0c9, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757676637000, SpanDuration: 4.0ms
